schema_table,description
whse_basemapping.gba_railway_tracks_sp,"GBA RAILWAY TRACKS SP contains railway tracks within BC from the National Railway Network (NRWN) dataset. In the real world a Track provides a guide for the movement of trains and other equipment. In general one linear feature represents the two rails of a Track. A Track is bounded by two Junction points and is segmented at each change in attributes along its course. All attributes relating to distance are expressed in miles and attributes relating to speed are expressed in miles per hour."
whse_forest_vegetation.range_imp_feature_line_svw,"Range improvement features mapped as line features."
whse_forest_vegetation.range_imp_feature_pnt_svw,"Range improvement features mapped as point features."
whse_forest_vegetation.range_pasture_poly_svw,"A range administrative area usually a fenced part of a range unit or tenure."
whse_forest_tenure.ften_range_poly_svw,"The spatial representation for a range tenure which is an area of Crown range over which a Range Act tenure applies.  A tenure holder may apply for a nonuse harvestable forage deduction against a tenure's total authorized harvestable forage"
whse_forest_vegetation.range_unit_poly_svw,"Range administration areas that are generally subsets of stock ranges. Range units are used for reporting and for livestock management purposes."
whse_land_use_planning.rkpm_karst_potential_area_sp,"KARST POTENTIAL AREA SP spatial definition consists of polygons representing reconnaissance level (1:250000) mapping of potential karsts within British Columbia. The polygons  intended to highlight where karst areas may occur and to estimate the likely intensity of karst development in these areas.  This type of map differs from a simple karst map which would display features and characteristics of only the known karst locations.   This is not a multipart feature."
whse_forest_tenure.ften_recreation_lines_svw,"The spatial representation of a recreation feature. This can be either a recreation reserve recreation site or an interpretative forest."
whse_forest_tenure.ften_recreation_poly_svw,"The spatial representation of a recreation feature. This can be either a recreation reserve recreation site or an interpretative forest."
whse_forest_tenure.ften_rec_site_points_svw,"A warehouse view of recreation sites as maintained by FTA. This view has been denoramalized to include modes of physcial access structures (improvements) at the site and activities provided by the site."
whse_admin_boundaries.adm_recreation_regions_sp,"The spatial representation for Recreation Regions. This data consists of Recreation Region boundaries established by the Ministry for the administration of select groupings of Recreation Districts. The authorizing agency is Recreation Sites And Trails BC."
whse_admin_boundaries.adm_recreation_districts_sp,"The spatial representation for Recreation Districts. This data consists of Recreation District boundaries established by the Ministry within Recreation Regions. The authorizing agency is Recreation Sites And Trails BC."
whse_forest_tenure.ften_rec_dtails_closures_sv,"Recreation Project Details and Closures"
whse_forest_tenure.ften_rec_trail_heads_svw,"The spatial representation of a recreation trail head as maintained by FTA. This view has been denoramalized to include modes of physcial access structures (improvements) at the trail head and activities provided by the trail head."
whse_forest_tenure.ften_rec_trails_svw,"The spatial representation of a recreation trail as maintained by FTA. This view has been denoramalized to include modes of physcial access structures (improvements) at the trail and activities provided by the trail."
whse_wildlife_management.crims_recreational_crabs,null
whse_forest_vegetation.rec_features_inventory,null
whse_wildlife_management.crims_recreational_fish,null
whse_wildlife_management.crims_recreational_grndfish,null
whse_forest_vegetation.rec_opportunity_spectrum_svw,null
whse_wildlife_management.crims_recreational_prawns,null
whse_wildlife_management.crims_recreational_scallops,null
whse_wildlife_management.crims_recreational_squids,null
whse_human_cultural_economic.fn_arts_reg_coal_agmts_sv,"The purpose of this layer is to provide a strategic approach when considering coal resource development in the North-East of BC.  Information in this layer represents Regional Coal Agreements signed by various BC ministries and First Nations."
whse_admin_boundaries.ebc_regional_districts_sp,null
whse_legal_admin_boundaries.abms_regional_districts_sp,"ABMS_REGIONAL_DISTRICTS_SP contains legally defined regional disctrict administrative boundary areas in the Province of British Columbia. This spatial layer contains multipart features."
whse_mineral_tenure.geol_reg_geochmcl_surv_area_sp,"British Columbia regional geochemical survey areas for collecting stream sediment and water geochemical data.  The survey areas are the individual blocks within a 1:250000 grid covering the province of BC. Survey areas are also known commonly as indexes and represented as index maps."
whse_mineral_tenure.geol_reg_geochmcl_surv_pnt_sp,"REG GEOCHMCL SURV PNT SP is a spatial layer containing analytical determinations for up to 40 metals field observations and sample locations for approximately 50000 stream sediment lake sediment stream water and lake water sample sites covering over 70 percent of British Columbia."
whse_water_management.wls_rgltd_private_wtr_util_sp,"This layer displays the general locations of regulated private water utilities across the province of British Columbia. A private water utility under the Water Utility Act is a person/business who owns or operates equipment or facilities for the delivery of domestic water service to five (5) or more persons or to a corporation for compensation. Private water utilities are usually created by developers to serve rural land development where community water service is required for subdivision approval and where there is no other water surveyor in the area that can provide service. This is a point layer."
whse_water_management.wls_reservoir_pmt_licensee_sp,"RESERVOIR PERMIT LICENSEE is a province-wide SDE layer displaying the extent and elevation of designated permitted power-storage reservoir areas over crown lands along with water licence attributes. This layer is a spatially de-normalized version of RESERVOIR PMT LICENSEE SVW."
whse_legal_admin_boundaries.adm_resort_timber_adm_areas_sp,"RESORT TIMBER ADM AREA SP represents the Resort Timber Administration Act Areas which show the approved authorization boundaries of timber harvesting and associated actions for Crown timber management (under the Forest Act and the Forest and Range Practices Act) for the purposes of all seasons resort development. This is a polygon feature class."
whse_admin_boundaries.adm_educ_trustee_elec_areas_sp,
whse_tantalis.ta_school_districts_svw,null
whse_wildlife_management.crims_sealion_rafting_areas,null
whse_legal_admin_boundaries.abms_sechelt_igd_sp,"ABMS_SECHELT_IGD_SP contains legally defined areas of land within the Province of British Columbia over which the Sechelt Indian Band exercises self-government including the administration of resources and services available to its members as described in the Sechelt Indian Band Self-Government Act of 1986. This spatial layer contains multipart features."
whse_human_cultural_economic.rst_section_58_orders_line,"SECTION 58 ORDERS LINE. This dataset contains trails for Section 58 Recreation Orders. Section 58 orders are used for purposes of protecting and managing public recreation resources and uses that fall within RST's mandate. They may restrict or prohibit non-recreational and recreational uses on crown land. The purpose of this layer is to provide a provincial view for both internal users and external users. Information will be provided to both the public as well as enforcement officers. It will also be easily available to provide accurate information for land status inquiries."
whse_human_cultural_economic.rst_section_58_orders_poly,"SECTION 58 ORDERS POLY. This dataset provides infrastructure locations that aide Section 58 Recreation Order areas and trails. Section 58 orders are used for purposes of protecting and managing public recreation resources and uses that fall within Recreation Sites and Trails (RST)'s mandate. They may restrict or prohibit non-recreational and recreational uses on crown land. The purpose of this layer is to provide a provincial view for both internal users and external users. Information will be provided to both the public as well as enforcement officers. It will also be easily available to provide accurate information for land status inquiries."
whse_environmental_monitoring.emo_sedimentary_basins,null
whse_forest_vegetation.seed_plan_unit_poly_svw,null
whse_forest_vegetation.seed_plan_zone_poly_mvw,null
whse_forest_vegetation.seed_seedlot_point_mvw,null
whse_forest_vegetation.seed_seedlot_collection_svw,null
whse_terrestrial_ecology.ste_sei_attribute_polys_svw,"STE_SEI_ATTRIBUTE_POLYS_SVW contains Sensitive Ecosystems Inventory (SEI) polygons with key and amalgamated (concatenated) attributes derived from the RISC (Resource Inventory Standards Committee) standard attributes. SEI identifies and maps rare and fragile terrestrial ecosystems. Ecosystems mapped may include (but are not limited to) older forests woodlands coastal bluffs herbaceous and sparsely vegetated ecosystems grasslands riparian ecosystems and wetlands. SEI methods include manual air photo interpretation or theming of other Ecosystem Mapping supported by selective field checking. This layer is derived from the STE_TEI_ATTRIBUTE_POLYS_SP layer by filtering on the PROJECT_TYPE attribute."
whse_terrestrial_ecology.ste_sei_project_boundaries_svw,"STE_SEI_PROJECT_BOUNDARIES_SVW contains Sensitive Ecosystems Inventory (SEI) project boundaries (study areas) and attributes describing each project (project level metadata) plus links to the locations of other data associated with the project (e.g. reports polygon datasets plot files). SEI identifies and maps rare and fragile terrestrial ecosystems. This layer is derived from the STE_TEI_PROJECT_BOUNDARIES_SP layer by filtering on the PROJECT_TYPE attribute."
reg_land_and_natural_resource.for_seral_amalg_units_car_sp,"Amalgamation units used in forest seral stage assessments in the Cariboo Natural Resource Region."
reg_land_and_natural_resource.for_seral_stages_car_sp,"FOR SERAL STAGE CAR SP contains the seral stage category for forest stands in the Caribou Region. Stands are classified into broad categories based on the age of the leading stand species. Possible values are Early Mid Mature Old NA(Not Classified)."
whse_imagery_and_base_maps.gsr_service_bc_offices_svw,null
whse_imagery_and_base_maps.gsr_frph_service_directory_svw,"GSR_FRPH_SERVICE_DIRECTORY_SVW describes businesses in British Columbia offering service in French"
whse_environmental_monitoring.chra_shipwrecks_sp,"A SHIPWRECK SP is a marine vessel that is incapable of floating and whose structure has been abandoned."
whse_environmental_monitoring.shzn_shore_unit_class_lines_sv,null
whse_environmental_monitoring.shzn_shore_unit_class_polys_sv,null
whse_wildlife_management.crims_shorebirds_unspcfd,null
whse_environmental_monitoring.shzn_biobanding_lines_sv,null
whse_environmental_monitoring.shzn_biobanding_polys_sv,null
whse_environmental_monitoring.shzn_hab_obs_lines_sv,null
whse_environmental_monitoring.shzn_hab_obs_polys_sv,null
whse_environmental_monitoring.shzn_shoreunit_break_point,"Points identifing breaks between individual SHZN shoreunit lines."
whse_forest_vegetation.rslt_silv_investment_sp,"The objective of this table is to help ensure that treated stands are not harvested prematurely before the return on investment is realized. It will help licensees and other stakeholders plan harvest locations in a way that optimizes the provinces silvicultural investments whether that means protecting a treated area from harvest until the treatment objectives are met or harvesting a treated stand to realize the benefits of the investment."
whse_imagery_and_base_maps.gsr_occupants_svw,"GSR_OCCUPANTS_SVW describes GSR occupants of all occupant types in British Columbia."
whse_imagery_and_base_maps.gsr_occupants_ogl_svw,"GSR_OCCUPANTS_SVW describes GSR occupants of occupant types in British Columbia for occupant types that have their data licensed under BC-OGL."
whse_imagery_and_base_maps.gsr_ski_resorts_sv,"GSR_SKI_RESORTS_SV is a spatially enabled layer comprising Ski Resorts. Ski Resorts is a point dataset identifying the location of ski resorts in British Columbia."
reg_land_and_natural_resource.wld_mdwr_slp_asp_cat_car_sp,null
reg_land_and_natural_resource.wld_mdwr_std_strc_lmt_car_sp,null
whse_water_management.ssl_snow_survey_basin_area_sp,"Snow survey administrative basin areas are a  multipart polygon layer. The Accuracy is 200 metres in defineable areas. Flatter areas are less accurate. The polygons were digitized by Hydrology Branch 1994."
reg_human_cultural_economic.parks_snowmobile_car_poly,
whse_wildlife_inventory.ama_snowmobile_mgmt_areas_sp,"Areas where access is controlled as to when and under what conditions they may be used by snowmobiles for recreation. These areas may be open open with conditions or closed."
whse_wildlife_inventory.ama_snowmobile_mgmt_trails_sp,"Trails where access is controlled as to when and under what conditions they may be used by snowmobiles for recreation. These areas may be open open with conditions or closed."
whse_terrestrial_ecology.ste_soil_proj_boundaries_svw,"STE_SOIL_PROJ_BOUNDARIES_SVW contains Soil Mapping (SOIL) project boundaries (study areas) and attributes describing each project (project level metadata) plus links to the locations of other data associated with the project (e.g. soil survey reports polygon datasets plotfiles scanned maps legends). Soil Mapping divides the landscape into units according to soil association name type drainage parent material and texture. This layer is derived from the STE_TEI_PROJECT_BOUNDARIES_SP layer by filtering on the PROJECT_TYPE attribute."
whse_terrestrial_ecology.ste_soil_surveys_mvw,null
whse_terrestrial_ecology.biot_occr_masked_sens_area_sp,"Non Sensitive occurrence area is a specific geographic location that represents a habitat capable of sustaining or contributing to the survival of specified species that are not defined as \"Endangered Species\"."
whse_terrestrial_ecology.biot_occr_non_sens_area_svw,"This view exposes the BIOTIC occurrence area with the attributes for a non sensitive BIOTIC occurrence. An Occurrence is a specific geographic location that represents a habitat capable of sustaining or contributing to the survival of specified species. This view does not  includes Endangered Species nor Record Trees."
reg_land_and_natural_resource.wld_mule_deer_stnd_strc_car_sp,null
whse_human_cultural_economic.emrg_st8_of_lcl_emrg_areas_sp,"Regional Districts Municipalities Electoral Areas First Nations and Communities that have declared a State of Local Emergency (also known as a declaration) or a Band Council Resolution (for First Nations)."
whse_forest_vegetation.range_stock_range_poly_svw,"A range administrative area that may be legally defined to a particular livestock association at its time of incorporation. They are primarily used for reporting purposes."
whse_land_use_planning.rmp_strgc_land_rsrce_plan_svw,"STRGC LAND RSRCE PLAN SPG contains generalized strategic land resource plans (SLRPs) which provide direction for Crown land use through the establishment of broad land use goals planning zone designations objectives and strategies.  Plan types include SRMPs LRMPs and RLUPs.  This layer contains generalized versions of RMP_STRGC_LAND_RSRCE_PLAN_SP."
whse_fish.fiss_stream_sample_sites_sp,"FISS_STREAM_SAMPLE_SITES_SP is a survey of fish habitat information in a stream.  This object contains all the columns from the table FISS_STREAM_SAMPLE_SITES plus additional columns from WDIC_WATERSHEDS and WDIC_WATERBODIES."
whse_water_management.wls_water_notation_streams_sp,"This dataset displays streams that have water allocation notations on them."
whse_imagery_and_base_maps.gsr_strongstartbc_centres_sv,"GSR_STRONGSTARTBC_CENTRES_SV is a point dataset describing StrongStart BC centres in British Columbia."
whse_tantalis.temp_transport,null
whse_tantalis.ta_assessment_areas_svw,null
whse_tantalis.ta_conservancy_areas_svw,"TA_CONSERVANCY_AREAS_SVW contains the spatial representation (polygon) of the conservancy areas designated under the Park Act or by the Protected Areas of British Columbia Act whose management and development is constrained by the Park Act. The view was created to provide a simplified view of this data from the administrative boundaries information in the Tantalis operational system."
whse_tantalis.ta_crown_dvlopmnt_agrmnts_svw,"TA_CROWN_DVLOPMNT_AGRMNTS_SVW contains the spatial representation (polygon) of active and applied for Land Act Development Agreements. Development Agreements allow for use of Crown Land for development with conditions for future purchase of base lands or tenure of property. The view was created to provide a simplified presentation of this single tenure type from the disposition information in the Tantalis operational system. The same content could be derived from the TA_CROWN_TENURES_SVW by filtering to this tenure type only."
whse_tantalis.ta_crown_inclusions_svw,"TA_CROWN_INCLUSIONS_SVW contains the spatial representation (polygon) of active and applied for Crown Land Inclusions. Inclusions are a mechanism by which an interest holder can extend for inclusion their holdings based on statutory provisions within the Land and Land Title Acts. The view was created to provide a simplified presentation of this single tenure type from the disposition information in the Tantalis operational system. The same content could be derived from the TA_CROWN_TENURES_SVW by filtering to this tenure type only."
whse_tantalis.ta_crown_inventory_svw,"TA_CROWN_INVENTORY_SVW contains the spatial representation (polygon) of active and applied for Crown Land Inventory Dispositions. Inventories are lands identified for review to determine the availability to market. The view was created to provide a simplified presentation of this single tenure type from the disposition information in the Tantalis operational system. The same content could be derived from the TA_CROWN_TENURES_SVW by filtering to this tenure type only."
whse_tantalis.ta_crown_leases_svw,"A Crown Land Lease is a type of land tenure issued under the Land Act. A Land Act Lease is issued where long term tenure is required where substantial improvements are proposed and/or where definite boundaries are required in order to avoid land use and property conflicts."
whse_tantalis.ta_crown_licenses_svw,"TA_CROWN_LICENSES_SVW contains the spatial representation (polygon) of active and applied for Land Act Licences. Land Act Licences (chapter 245) is not registerable does not require a survey possesses fewer rights than a lease and conveys non-exclusive use. The view was created to provide a simplified presentation of this single tenure type from the disposition information in the Tantalis operational system. The same content could be derived from the TA_CROWN_TENURES_SVW by filtering to this tenure type only."
whse_tantalis.ta_crown_operating_agrmnts_svw,"TA_CROWN_OPERATING_AGRMNTS_SVW contains the spatial representation (polygon) of active and applied for Crown Land Operating Agreements. Operating agreements provide for use of Crown Land for operation/development but do not provide for future purchasing of land. The view was created to provide a simplified presentation of this single tenure type from the disposition information in the Tantalis operational system. The same content could be derived from the TA_CROWN_TENURES_SVW by filtering to this tenure type only."
whse_tantalis.ta_crown_permits_svw,"TA_CROWN_PERMITS_SVW contains the spatial representation (polygon) of active and applied for Land Act Permits. Land Act Permits grant the right to carry out specific activity(s) for a short term but do not allow for the construction of permanent improvements on the land. The view was created to provide a simplified presentation of this single tenure type from the disposition information in the Tantalis operational system. The same content could be derived from the TA_CROWN_TENURES_SVW by filtering to this tenure type only."
whse_tantalis.ta_crown_rsrv_notations_svw,"TA_CROWN_RSRV_NOTATIONS_SVW contains the spatial representation (polygon) of active and applied for Reserves and Notations. Reserves are a particular type of crown land tenure that grants an agency the right to implement a restriction on the use of crown land. Federal and Provincial government agencies and corporations may apply for the establishment of Land Act Reserves over high value sites required for public purposes including research and education. Depending on the type of reserve (Order in Council Map Reserve Land Act Designation (which can be designated use or prohibitive use) and Notation of Interest) the area is withdrawn from disposition under the Land Act. The view was created to provide a simplified presentation of this single tenure type from the disposition information in the Tantalis operational system. The same content could be derived from the TA_CROWN_TENURES_SVW by filtering to this tenure type only."
whse_tantalis.ta_crown_rev_share_agrmnts_svw,"TA_CROWN_REV_SHARE_AGRMNTS_SVW contains the spatial representation (polygon) of active and applied for Crown Land Revenue Sharing Agreements. A Revenue Sharing Agreement is made between the crown and one or more parties to share revenue. The view was created to provide a simplified presentation of this single tenure type from the disposition information in the Tantalis operational system. The same content could be derived from the TA_CROWN_TENURES_SVW by filtering to this tenure type only."
whse_tantalis.ta_crown_rights_of_way_svw,"The spatial representation (polygon) of active and applied for Statutory Rights-of-way. Statutory rights-of-way are registerable in a Land Titles office and are normally issued to authorize linear uses of Crown Land for transportation communication energy production and utility developments. They grant tenure holders right of passage for specific purposes and certainty respecting access to the land and use of improvements. They do not convey non-exclusive use - exclusivity may be granted for safety reasons. A legal survey is required to define the tenured area. The view was created to provide a simplified presentation of this single tenure type from the disposition information in the Tantalis operational system. The same content could be derived from the TA_CROWN_TENURES_SVW by filtering to this tenure type only."
whse_tantalis.ta_crown_tenures_svw,"Current Land Act tenures and applications for such tenures."
whse_tantalis.ta_integrated_survey_areas_svw,"TA_INTEGRATED_SURVEY_AREAS_SVW contains the spatial representation (polygon) of the areas providing official survey control through a standard vertical and horizontal reference system to support mapping engineering surveying and other works. The view was created to provide a simplified view of this data from the administrative boundaries information in the Tantalis operational system. These areas are established by Order pursuant to section 12(1) of the Land Survey Act."
whse_tantalis.ta_land_claim_stlmnt_areas_svw,"TA_LAND_CLAIM_STLMNT_AREA_SVW contains the spatial representation (polygon) of the current extent of an area of land that is governed and owned by the First Nation in fee simple pursuant to the provisions of the applicable treaty. The view was created to provide a simplified view of this data from the administrative boundaries information in the Tantalis operational system. Treaty Settlement Lands are not subject to any condition proviso restriction exception or reservation set out in the Land Act or any comparable limitation under Federal or Provincial law."
whse_tantalis.ta_land_districts_svw,"TA_LAND_DISTRICT_SVW contains the spatial representation (polygon) of the current extent of the administrative areas defined under Section 2 of the Land Act as Land Districts. The was created to provide a simplified view of this data from the administrative boundaries information in the Tantalis operational system. These administrative regions are defined under Section 2 of the Land Act for the purpose of managing and uniquely identifying cadastral survey parcels."
whse_tantalis.ta_land_mgmt_regions_svw,"TA_LAND_MGMT_REGIONS_SVW contains the spatial representation (polygon) of the current extent of the administrative areas defined under the Land Act for the purposes of administering land transactions. The view was created to provide a simplified view of this data from the administrative boundaries information in the Tantalis operational system."
whse_tantalis.ta_land_title_districts_svw,"TA_LAND_TITLE_DISTRICT_SVW contains the spatial representation (polygon) of the current extent of the administrative areas defined under Section 5 of the Land Title Act. The view was created to provide a simplified view of this data from the administrative boundaries information in the Tantalis operational system. Land title records are organized and managed by Land Title Districts. A Land Title Office and its Registrar have authority to manage one or more Land Title Districts."
whse_tantalis.ta_mgmt_areas_spatial_svw,"TA_MGMT_AREAS_SPATIAL_SVW contains the spatial representation (polygon) of the management area boundaries established pursuant to section 3 of the Muskwa-Kechika Management Area Act. The view was created to provide a simplified view of this data from the administrative boundaries information in the Tantalis operational system."
whse_tantalis.ta_surface_ownership_svw,"The spatial view TA SURFACE OWNERSHIP SVW is a mutli-part polygon feature that indicates whether the surface rights of a particular active survey parcel (either primary or subdivision) are currently owned by the crown or have been granted to a private interest. Note: this dataset should not be relied upon to be the definitive source of whether a survey parcel is crown or private.  A confidence level (LOW MEDIUM HIGH) is included with each feature to indicate the likelihood that the feature is indeed crown or private."
whse_tantalis.ta_survey_parcels_svw,"TA_SURVEY_PARCELS_SVW contains the spatial representation (polygon) of all active primary and subdivision parcels of land that are or have been within the purview of the B.C. Crown Land Management program. The view was created to provide a simplified view of this data from the survey parcel information in the Tantalis operational system. Primary and subdivision parcels are the two types of parcels (as identified by the PARCEL_TYPE attribute) that are generally suitable for transfer of ownership."
whse_tantalis.ta_surveyed_row_parcels_svw,"The spatial representation (polygon) of all parcels of land surveyed for statutory access or Right-of-Way purposes with active surveys that are or have been within the purview of the B.C. Crown Land Management program. The view was created to provide a simplified view of this data from the survey parcel information in the Tantalis operational system."
whse_tantalis.ta_wellsites_svw,null
whse_tantalis.ta_wildlife_mgmt_areas_svw,"TA_WILDLIFE_MGMT_AREAS_SVW contains the spatial representation (polygon) of the areas for which administration and control has been transferred to the Ministry of Environment (MoE) via the Land Act due to the significance of their wildlife/fish values and designated as Wildlife Management Areas under the Wildlife Act. The view was created to provide a simplified view of this data from the administrative boundaries information in the Tantalis operational system."
whse_basemapping.trim_contour_lines,null
whse_basemapping.trim_contour_points,null
whse_basemapping.trim_cultural_lines,null
whse_basemapping.trim_cultural_points,null
whse_basemapping.trim_land_cover_lines,null
whse_basemapping.trim_land_cover_points,null
whse_basemapping.trim_miscellaneous_lines,null
whse_basemapping.trim_miscellaneous_points,null
whse_basemapping.trim_surface_lines,null
whse_basemapping.trim_surface_points,null
whse_basemapping.trim_transportation_lines,null
whse_basemapping.trim_transportation_points,null
whse_basemapping.trim_water_lines,null
whse_basemapping.trim_water_points,null
whse_terrestrial_ecology.ste_ter_inventory_polys_svw,"STE_TER_INVENTORY_POLYS_SVW contains Terrain Inventory Mapping (TIM) polygons with key and amalgamated (concatenated) attributes derived from the RISC (Resource Inventory Standards Committee) standard attributes. TIM is multi-purpose and divides the landscape into unit according to surficial material surface expression and geomorphological process using the Terrain Classification System for British Columbia. Most of the inventory mapping was completed in the 1970's and 1980's on 1:50 000-scale base maps using air photo interpretation with selective field checking and manual transfer and drafting of paper maps. These maps were later digitized and have been converted from IGDS or CAPAMP to ArcInfo to Geodatabase. This layer is derived from the STE_TEI_ATTRIBUTE_POLYS_SP layer by filtering on the PROJECT_TYPE attribute."
whse_terrestrial_ecology.ste_ter_project_boundaries_svw,"STE_TER_PROJECT_BOUNDARIES_SVW contains Terrain Mapping (TER) project boundaries (study areas) and attributes describing each project (project level metadata) plus links to the locations of other data associated with the project (e.g. reports polygon datasets plotfiles legends) for terrain inventory bioterrain and terrain stability mapping projects. TER divides the landscape into units according to surficial materials landforms and geomorphological processes using the Terrain Classification System for British Columbia. This layer is derived from the STE_TEI_PROJECT_BOUNDARIES_SP layer by filtering on the PROJECT_TYPE attribute."
whse_terrestrial_ecology.ste_ter_stability_polys_svw,"STE_TER_STABILITY_POLYS_SVW contains Terrain Stability Mapping (TSM) polygons with key and amalgamated (concatenated) attributes derived from the RISC (Resource Inventory Standards Committee) standard attributes. TSM uses air photo interpretation and select field checking to divides the landscape into units using the Terrain Classification System for British Columbia and stability criteria. Polygon attributes include (but are not limited to) surficial material surface expression geomorphological processes drainage class slope range and stability class. TSM methods include manual air photo interpretation and setting stability criteria supported by selective field checking. This layer is derived from the STE_TEI_ATTRIBUTE_POLYS_SP layer by filtering on the PROJECT_TYPE attribute."
whse_terrestrial_ecology.ste_prj_scanned_map_bndry_svw,null
whse_terrestrial_ecology.ste_scanned_map_boundary_sp,"SCANNED MAP BOUNDARY SP contains an index of the approximate location and boundary of Soils Terrain Ecosystems and related scanned map images. These maps are intended for on-screen viewing or for printing. The maps are not geo-referenced. Instead map boundaries are tied to standard map sheet grid polygons that represent the approximate location of the project map. Some maps are of related legends and map project text. Associated scanned map boundary attributes describe the project map (project level metadata) and provide a link for downloading the map plus available links to related reports geo-referenced maps and GIS digital data available from other sources."
whse_terrestrial_ecology.ste_tem_attribute_polys_svw,"STE_TEM_ATTRIBUTE_POLYS_SVW contains Terrestrial Ecosystem Mapping (TEM) polygons with key and amalgamated (concatenated) attributes derived from the RISC (Resource Inventory Standards Committee) standard attributes. TEM divides the landscape into units according to a variety of ecological features including climate physiography surficial material bedrock geology soils and vegetation. TEM methods include manual air photo interpretation supported by selective field checking. This layer is derived from the STE_TEI_ATTRIBUTE_POLYS_SP layer by filtering on the PROJECT_TYPE attribute. COMMENTS: View replaces old STE_TEM_SHORT_TABLE_SP with the addition of the STE_SHORT_TABLE_SP to the LRDW."
whse_terrestrial_ecology.ste_tem_project_boundaries_svw,"STE_TEM_PROJECT_BOUNDARIES_SVW contains Terrestrial Ecosystem Mapping (TEM) project boundaries (study areas) and attributes describing each project (project level metadata) plus links to the locations of other data associated with the project (e.g. reports polygon datasets plotfiles field data legends).TEM divides the landscape into units according to a variety of ecological features including climate physiography surficial material bedrock geology soils and vegetation. This layer is derived from the STE_TEI_PROJECT_BOUNDARIES_SP layer by filtering on the PROJECT_TYPE attribute."
whse_land_and_natural_resource.paso_pct_ecosect_prtctd_svw,"PASO PCT ECOSECT PRTCTD SVW represents areas with minor physiographic and macroclimatic or oceanographic variations. The spatial geometry is combined with provincial totals that provides a high level summary of ecosection representation found within and outside the protected areas system. Ecosections are used for resource emphasis and area planning. This is a multipart feature class."
whse_land_and_natural_resource.paso_dominant_bei_ecosys_svw,null
whse_land_and_natural_resource.pa_pct_bgc_code_prtctd_sp,"A summary of the respresentation of biogeoclimatic (BEC) variants within protected areas at the provincial level."
whse_land_and_natural_resource.paso_pct_bgc_code_prtctd_svw,"PASO PCT BGC CODE PRTCTD SVW combines provincial biogeoclimatic area geometry with provincial report totals. This provides a high level summary of biogeoclimatic variant representation found within and outside the protected areas system."
whse_land_and_natural_resource.paso_pct_bgc_zone_prtctd_svw,"PASO PCT BGC ZONE PRTCTD SVW combines provincial biogeoclimatic area geometry with provincial report totals. This provides a high level summary of biogeoclimatic zone representation found within and outside the protected areas system."
whse_land_and_natural_resource.pa_pct_bgc_zone_prtctd_sp,"A summary of the representation of biogeoclimatic (BEC) zones in protected areas at the provincial level."
whse_land_and_natural_resource.pa_pct_ecosect_prtctd_sp,"A summary of the representation of ecosections within protected areas at the provincial level."
reg_land_and_natural_resource.wby_timing_windows_car_sp,"Timing Windows for work in and about waterbodies in the Cariboo Region."
whse_imagery_and_base_maps.gsr_frph_tourism_svw,"GSR_FRPH_TOURISM_SVW describes French speaking tourism services offered to visitors in BC. The types of services include Tourist accommodations; restaurants pubs and bars; retail store; and sightseeing and tour operators."
whse_admin_boundaries.adm_tns_zones_sp,"This spatial layer contains polygons representing Transportation Network Services Zones in the Province of British Columbia."
whse_wildlife_management.waa_trapline_areas_sp,"TRAPLINE AREAS SP delinates the areas for which registration is granted to one or more licensed trappers for the trapping of fur bearing animals under the BC Wildlife Act. Traplines are designated by a regional manager of the recreational fisheries and wildlife programs. The Wildlife Act regulates who may set a trap for hunt kill take or capture a fur bearing animal within a trapline. This is a multipart feature class."
whse_legal_admin_boundaries.adm_tsunami_notify_zones_sp,"ADM TSUNAMI NOTIFY ZONES SP contains Tsunami Notification Zone data.  Tsunami Notification Zone classifications are used to differentiate the risk for the areas along the coast of BC.  These Zone differentiations are used to relate the impending tsunami risk in the Provincial Emergency Notification System (PENS) alert messages as well as Environment Canada's WeatherOffice WeatherRadio and EMBCs emergencyinfobc.gov.ca website alerts.  Each zone has a corresponding level of risk associated with it based on a suite of potential tsunami scenarios which allows the public and other stakeholders to read themselves for the appropriate risk in their location."
whse_basemapping.utmg_gridlines_1k_sp,"set of lines which represent the Universal Transverse Mercator (UTM) grid system expressed in the BCAlbers projection. Lines of Easting and Northing are provided at every 1000 metres UTM (1 Kilometres). Grid lines cover the extent of British Columbia."
whse_basemapping.utmg_gridlines_10k_sp,"A set of lines which represent the Universal Transverse Mercator (UTM) grid system expressed in the BCAlbers projection. Lines of Easting and Northing are provided at every 10000 metres UTM (10 Kilometres). Grid lines cover the extent of British Columbia."
whse_basemapping.utmg_utm_zones_sp,"UTM ZONES SP represent Universal Transverse Mercator Zones over the Province of British Columbia created as polygons and re-projected to  BC Albers projection. This is not a multipart feature class."
whse_wildlife_management.wcp_ungulate_winter_range_sp,"A mapped area of habitat with associated species-specific management requirements.  These areas have been approved under the authority of the Forest Practices Code and the Forest and Range Practices Act.  This is a logical entity and not implemented physically.A mapped area of habitat required for the winter survival of ungulate species.  Associated with the mapped areas are species-specific management requirements.  These areas have been approved under the authority of the Forest Practices Code and the Forest and Range Practices Act."
